t,AE
1.48e-05,-0.0005413818359375
1.49e-05,-0.00063568115234375
1.5e-05,-0.000673828125
1.51e-05,-0.000677032470703125
1.52e-05,-0.000722198486328125
1.53e-05,-0.000677337646484375
1.54e-05,-0.000623626708984375
1.55e-05,-0.000660858154296875
1.56e-05,-0.000624847412109375
1.57e-05,-0.000624847412109375
1.58e-05,-0.00064697265625
1.59e-05,-0.000610809326171875
1.6e-05,-0.00059234619140625
1.61e-05,-0.0004986572265625
1.62e-05,-0.000496368408203125
1.63e-05,-0.000488128662109375
1.64e-05,-0.000504302978515625
1.65e-05,-0.000600128173828125
1.66e-05,-0.0006121826171875
1.67e-05,-0.00053955078125
1.68e-05,-0.000567779541015625
1.69e-05,-0.000585784912109375
1.7e-05,-0.0005645751953125
1.71e-05,-0.000551300048828125
1.72e-05,-0.000572509765625
1.73e-05,0.00111129760742187
1.74e-05,0.0236332702636719
1.75e-05,0.144722595214844
1.76e-05,0.490366516113281
1.77e-05,1.12667755126953
1.78e-05,1.979482421875
1.79e-05,2.79165924072266
1.8e-05,3.11223617553711
1.81e-05,2.54708908081055
1.82e-05,1.0621794128418
1.83e-05,-0.995485229492188
1.84e-05,-3.06186904907227
1.85e-05,-4.40261932373047
1.86e-05,-4.71169677734375
1.87e-05,-4.10069427490234
1.88e-05,-2.93224136352539
1.89e-05,-1.65382843017578
1.9e-05,-0.618843688964844
1.91e-05,0.0462745666503906
1.92e-05,0.425481567382813
1.93e-05,0.660763244628906
1.94e-05,0.874920654296875
1.95e-05,1.10115005493164
1.96e-05,1.29566879272461
1.97e-05,1.39247024536133
1.98e-05,1.34845230102539
1.99e-05,1.17218643188477
2e-05,0.915034332275391
2.01e-05,0.634087677001953
2.02e-05,0.370453338623047
2.03e-05,0.145223388671875
2.04e-05,-0.0383132934570313
2.05e-05,-0.175496063232422
2.06e-05,-0.256394805908203
2.07e-05,-0.277262420654297
2.08e-05,-0.240759887695313
2.09e-05,-0.162476196289063
2.1e-05,-0.0723049926757812
2.11e-05,0.00434890747070312
2.12e-05,0.0518904113769531
2.13e-05,0.0648411560058594
2.14e-05,0.0533230590820312
